631414.171451 224944.618359 0.000000 132.694702 142:255:000
631416.893141 224945.880264 3.000000 132.915421 147:255:000
631419.614830 224947.142169 6.000000 133.260208 156:255:000
631422.336520 224948.404074 9.000000 133.540634 162:255:000
631425.058210 224949.665979 12.000000 133.926834 172:255:000
631427.779900 224950.927884 15.000000 133.926834 172:255:000
631430.501590 224952.189789 18.000000 134.332108 181:255:000
631433.035234 224953.364507 20.792725 134.563263 187:255:000
631435.775619 224954.585282 23.792725 134.729172 191:255:000
631438.516004 224955.806057 26.792725 135.067078 199:255:000
631441.256388 224957.026831 29.792725 135.231369 203:255:000
631443.996773 224958.247606 32.792725 135.351852 206:255:000
631446.737158 224959.468381 35.792725 135.399124 207:255:000
631449.477543 224960.689156 38.792725 135.444077 208:255:000
631452.217928 224961.909930 41.792725 135.644882 213:255:000
631454.958313 224963.130705 44.792725 135.644882 213:255:000
631457.698698 224964.351480 47.792725 135.824554 217:255:000
631460.439082 224965.572254 50.792725 135.882004 219:255:000
631463.179467 224966.793029 53.792725 135.972916 221:255:000
631465.919852 224968.013804 56.792725 136.185776 226:255:000
631468.660237 224969.234578 59.792725 136.247086 228:255:000
631471.400622 224970.455353 62.792725 136.401779 231:255:000
631474.141007 224971.676128 65.792725 136.430237 232:255:000
631476.881392 224972.896902 68.792725 136.489395 233:255:000
631479.621776 224974.117677 71.792725 136.781784 240:255:000
631482.362161 224975.338452 74.792725 136.839767 242:255:000
631485.102546 224976.559226 77.792725 136.988754 245:255:000
631487.842931 224977.780001 80.792725 136.988754 245:255:000
631490.583316 224979.000776 83.792725 137.149185 249:255:000
631493.323701 224980.221551 86.792725 137.221222 251:255:000
631496.064085 224981.442325 89.792725 137.262024 252:255:000
631498.804470 224982.663100 92.792725 137.728928 255:251:000
631501.544855 224983.883875 95.792725 137.821091 255:250:000
631504.285240 224985.104649 98.792725 137.995834 255:248:000
631507.025625 224986.325424 101.792725 138.055191 255:247:000
631509.766010 224987.546199 104.792725 138.178329 255:246:000
631512.506395 224988.766973 107.792725 138.345535 255:244:000
631515.246779 224989.987748 110.792725 138.461884 255:242:000
631517.987164 224991.208523 113.792725 138.569336 255:241:000
631520.727549 224992.429297 116.792725 138.683685 255:240:000
631523.467934 224993.650072 119.792725 138.773254 255:239:000
631526.208319 224994.870847 122.792725 138.998413 255:236:000
631528.948704 224996.091622 125.792725 138.990540 255:236:000
631531.689089 224997.312396 128.792725 139.111588 255:234:000
631534.429473 224998.533171 131.792725 139.125504 255:234:000
631537.169858 224999.753946 134.792725 139.090408 255:235:000
631539.910243 225000.974720 137.792725 139.238953 255:233:000
631542.650628 225002.195495 140.792725 139.190765 255:233:000
631545.391013 225003.416270 143.792725 139.243118 255:233:000
631548.131398 225004.637044 146.792725 139.159805 255:234:000
631550.871783 225005.857819 149.792725 139.159805 255:234:000
631553.612167 225007.078594 152.792725 139.121445 255:234:000
631556.352552 225008.299368 155.792725 138.915665 255:237:000
631559.092937 225009.520143 158.792725 138.782745 255:238:000
631561.833322 225010.740918 161.792725 138.590622 255:241:000
631564.573707 225011.961693 164.792725 138.377441 255:243:000
631567.314092 225013.182467 167.792725 138.198639 255:245:000
631570.054477 225014.403242 170.792725 137.968201 255:248:000
631572.794861 225015.624017 173.792725 137.751190 255:251:000
