631570.531897 224934.182529 0.000000 132.953796 148:255:000
631573.256362 224935.438432 3.000000 132.979584 149:255:000
631575.980827 224936.694334 6.000000 133.062836 151:255:000
631578.705293 224937.950236 9.000000 133.001129 149:255:000
631581.429758 224939.206138 12.000000 133.111252 152:255:000
631584.154223 224940.462040 15.000000 133.064514 151:255:000
631586.878688 224941.717942 18.000000 133.064514 151:255:000
631589.603153 224942.973845 21.000000 133.139008 153:255:000
631592.327618 224944.229747 24.000000 133.137299 153:255:000
631595.052083 224945.485649 27.000000 133.170883 153:255:000
631597.776548 224946.741551 30.000000 133.129547 152:255:000
631600.501013 224947.997453 33.000000 133.178452 154:255:000
631603.225478 224949.253355 36.000000 133.147659 153:255:000
631605.949943 224950.509257 39.000000 133.199219 154:255:000
631608.674408 224951.765160 42.000000 133.282516 156:255:000
631611.398873 224953.021062 45.000000 133.235153 155:255:000
631614.123338 224954.276964 48.000000 133.297943 156:255:000
631616.847803 224955.532866 51.000000 133.123444 152:255:000
631619.572268 224956.788768 54.000000 133.177658 154:255:000
631622.296733 224958.044670 57.000000 133.212265 154:255:000
631625.021198 224959.300572 60.000000 133.274231 156:255:000
631627.745663 224960.556475 63.000000 133.398026 159:255:000
631630.470128 224961.812377 66.000000 133.417175 159:255:000
631633.194593 224963.068279 69.000000 133.428101 160:255:000
631635.919058 224964.324181 72.000000 133.348175 158:255:000
631638.643524 224965.580083 75.000000 133.411438 159:255:000
631641.367989 224966.835985 78.000000 133.493027 161:255:000
631644.092454 224968.091888 81.000000 133.447388 160:255:000
631646.816919 224969.347790 84.000000 133.447388 160:255:000
631649.541384 224970.603692 87.000000 133.349442 158:255:000
631652.265849 224971.859594 90.000000 133.375992 158:255:000
631654.990314 224973.115496 93.000000 133.453903 160:255:000
631657.714779 224974.371398 96.000000 133.524597 162:255:000
631660.439244 224975.627300 99.000000 133.552185 163:255:000
631663.163709 224976.883203 102.000000 133.516525 162:255:000
631665.888174 224978.139105 105.000000 133.596893 164:255:000
631668.612639 224979.395007 108.000000 133.596451 164:255:000
631671.337104 224980.650909 111.000000 133.652863 165:255:000
631674.061569 224981.906811 114.000000 133.655304 165:255:000
631676.786034 224983.162713 117.000000 133.576019 163:255:000
631679.510499 224984.418615 120.000000 133.607834 164:255:000
631682.234964 224985.674518 123.000000 133.544586 162:255:000
631684.959429 224986.930420 126.000000 133.573669 163:255:000
631687.683894 224988.186322 129.000000 133.522675 162:255:000
631690.408359 224989.442224 132.000000 133.586746 163:255:000
631693.132824 224990.698126 135.000000 133.697784 166:255:000
631695.857290 224991.954028 138.000000 133.719864 167:255:000
631698.581755 224993.209931 141.000000 133.861938 170:255:000
631701.306220 224994.465833 144.000000 133.758255 168:255:000
631704.030685 224995.721735 147.000000 133.801819 169:255:000
631706.755150 224996.977637 150.000000 133.801819 169:255:000
631709.479615 224998.233539 153.000000 133.766754 168:255:000
631712.204080 224999.489441 156.000000 133.806793 169:255:000
631714.928545 225000.745343 159.000000 133.737854 167:255:000
631717.653010 225002.001246 162.000000 133.790924 168:255:000
631720.377475 225003.257148 165.000000 133.778000 168:255:000
631723.101940 225004.513050 168.000000 133.863998 170:255:000
631725.826405 225005.768952 171.000000 133.974319 173:255:000
631728.550870 225007.024854 174.000000 133.961487 172:255:000
631731.275335 225008.280756 177.000000 133.993546 173:255:000
631733.999800 225009.536658 180.000000 133.871490 170:255:000
631736.724265 225010.792561 183.000000 133.898376 171:255:000
631739.448730 225012.048463 186.000000 133.906189 171:255:000
631742.173195 225013.304365 189.000000 134.017426 174:255:000
631744.897660 225014.560267 192.000000 134.101334 176:255:000
631747.622125 225015.816169 195.000000 134.005783 174:255:000
631750.346590 225017.072071 198.000000 134.032990 174:255:000
631753.071056 225018.327974 201.000000 133.997696 173:255:000
631755.795521 225019.583876 204.000000 134.064606 175:255:000
631758.519986 225020.839778 207.000000 134.133087 177:255:000
631761.244451 225022.095680 210.000000 134.133987 177:255:000
631763.968916 225023.351582 213.000000 134.133987 177:255:000
631766.693381 225024.607484 216.000000 134.130554 177:255:000
631769.417846 225025.863386 219.000000 134.199829 178:255:000
631772.142311 225027.119289 222.000000 134.113297 176:255:000
631774.866776 225028.375191 225.000000 134.165756 177:255:000
631777.591241 225029.631093 228.000000 134.230362 179:255:000
631780.315706 225030.886995 231.000000 134.208572 178:255:000
631783.040171 225032.142897 234.000000 134.266464 180:255:000
631785.764636 225033.398799 237.000000 134.185928 178:255:000
631788.489101 225034.654701 240.000000 134.251007 179:255:000
631791.213566 225035.910604 243.000000 134.338974 182:255:000
631793.938031 225037.166506 246.000000 134.280762 180:255:000
631796.662496 225038.422408 249.000000 134.378128 182:255:000
631799.386961 225039.678310 252.000000 134.365097 182:255:000
631802.111426 225040.934212 255.000000 134.390305 183:255:000
631804.835891 225042.190114 258.000000 134.312119 181:255:000
631807.560356 225043.446017 261.000000 134.357849 182:255:000
631810.284821 225044.701919 264.000000 134.412384 183:255:000
631813.009287 225045.957821 267.000000 134.353928 182:255:000
631815.733752 225047.213723 270.000000 134.407288 183:255:000
631818.458217 225048.469625 273.000000 134.411652 183:255:000
631821.182682 225049.725527 276.000000 134.504242 186:255:000
631823.907147 225050.981429 279.000000 134.504242 186:255:000
631826.631612 225052.237332 282.000000 134.476364 185:255:000
631829.356077 225053.493234 285.000000 134.539658 186:255:000
631832.080542 225054.749136 288.000000 134.492111 185:255:000
631834.805007 225056.005038 291.000000 134.599564 188:255:000
631837.529472 225057.260940 294.000000 134.548401 187:255:000
631840.253937 225058.516842 297.000000 134.607834 188:255:000
