631349.512049 225133.452583 0.000000 139.303799 255:135:000
631351.880607 225135.293761 3.000000 138.822636 255:144:000
631354.249164 225137.134939 6.000000 138.312210 255:153:000
631356.617721 225138.976117 9.000000 137.930962 255:160:000
631358.986278 225140.817295 12.000000 137.930962 255:160:000
631361.354836 225142.658473 15.000000 137.784431 255:162:000
631363.723393 225144.499651 18.000000 137.845100 255:161:000
631366.091950 225146.340829 21.000000 137.901375 255:160:000
631368.460507 225148.182007 24.000000 138.320549 255:153:000
631370.829064 225150.023185 27.000000 138.626675 255:147:000
631372.038653 225150.963449 28.532058 138.857754 255:143:000
631374.442394 225152.758450 31.532058 139.096531 255:139:000
631376.846135 225154.553452 34.532058 139.388065 255:134:000
631379.249876 225156.348453 37.532058 141.827052 237:127:018
631381.653617 225158.143454 40.532058 142.177463 234:127:021
631384.057358 225159.938456 43.532058 142.207408 234:127:021
631386.461098 225161.733457 46.532058 142.269077 233:127:021
631388.864839 225163.528458 49.532058 142.404753 232:127:023
631391.268580 225165.323460 52.532058 142.718850 229:127:025
631393.672321 225167.118461 55.532058 142.750020 229:127:026
631396.076062 225168.913462 58.532058 143.280505 224:127:030
631398.479803 225170.708464 61.532058 143.489322 222:127:032
631400.883544 225172.503465 64.532058 143.539059 222:127:033
631403.287285 225174.298466 67.532058 143.114693 226:127:029
631405.691026 225176.093467 70.532058 142.938701 227:127:027
631408.094766 225177.888469 73.532058 143.066791 226:127:028
631410.498507 225179.683470 76.532058 143.206533 225:127:030
631412.902248 225181.478471 79.532058 143.319200 224:127:031
631415.305989 225183.273473 82.532058 143.614818 221:127:033
631417.709730 225185.068474 85.532058 143.677443 221:127:034
631420.113471 225186.863475 88.532058 143.938006 218:127:036
631422.517212 225188.658477 91.532058 144.006988 218:127:037
631424.920953 225190.453478 94.532058 144.216785 216:127:038
631427.324694 225192.248479 97.532058 144.207964 216:127:038
631429.728435 225194.043481 100.532058 144.168157 216:127:038
631432.132175 225195.838482 103.532058 144.177556 216:127:038
631434.535916 225197.633483 106.532058 144.177375 216:127:038
631436.939657 225199.428485 109.532058 144.175263 216:127:038
631439.343398 225201.223486 112.532058 144.163155 216:127:038
631441.747139 225203.018487 115.532058 144.118377 217:127:038
631444.150880 225204.813488 118.532058 144.108495 217:127:037
631446.554621 225206.608490 121.532058 144.090867 217:127:037
631448.958362 225208.403491 124.532058 144.083995 217:127:037
631451.362103 225210.198492 127.532058 144.099325 217:127:037
631453.765843 225211.993494 130.532058 144.150961 217:127:038
631456.169584 225213.788495 133.532058 144.145032 217:127:038
631458.573325 225215.583496 136.532058 144.069303 217:127:037
631460.977066 225217.378498 139.532058 144.041222 218:127:037
631463.380807 225219.173499 142.532058 143.989146 218:127:036
631465.784548 225220.968500 145.532058 143.952704 218:127:036
631468.188289 225222.763502 148.532058 143.890570 219:127:036
631470.592030 225224.558503 151.532058 143.836022 219:127:035
631472.995771 225226.353504 154.532058 143.751050 220:127:034
631475.399511 225228.148506 157.532058 143.633955 221:127:033
631477.803252 225229.943507 160.532058 143.610653 221:127:033
631480.206993 225231.738508 163.532058 143.637128 221:127:033
631482.610734 225233.533510 166.532058 143.735363 220:127:034
631485.014475 225235.328511 169.532058 143.801517 220:127:035
631487.418216 225237.123512 172.532058 143.766892 220:127:035
631489.821957 225238.918513 175.532058 143.738709 220:127:034
631492.225698 225240.713515 178.532058 143.846926 219:127:035
631494.629439 225242.508516 181.532058 143.756368 220:127:034
