WGS84 UTM 17N
702742 3961977
270.6763728825608 -237.1617934871465 158.294
-275.9166169707896 19.01990604074672 158.094
442.8792389719747 -150.53147924644873 158.194
193.40390589775052 -142.4871328836307 158.094
100.74406938639004 -254.15441330242902 158.294
-115.99829597782809 32.58835512585938 158.094
-267.07133138447534 285.8461433434859 157.994
182.3450122519862 47.96901096915826 158.194
-310.13055807724595 69.14127447735518 157.994
21.106442012591287 295.06654329318553 158.194
364.8551688300213 -190.2640611906536 158.294
-137.87866196525283 -362.73038333142176 158.194
163.6249031315092 105.7511477204971 158.094
-45.55845046136528 133.6162440176122 157.994
-71.86045380530413 251.58840285707265 158.094
-231.39840487099718 106.80908404383808 158.294
4.0556032648310065 158.1725905253552 157.994
34.93158456706442 -24.303498218301684 158.094
189.2698441251414 -275.9404886686243 158.094
-307.16225676145405 29.537470570299774 158.094
-148.90987526415847 -114.6484469533898 158.094
-273.48566989891697 151.75539006246254 158.094
-291.87223641423043 261.33155720261857 157.794
79.92397335614078 -329.96369941951707 158.194
77.11081582831684 -68.44166094763204 157.894
-65.55686069093645 123.74835854256526 157.994
169.01046943035908 168.81242818152532 158.094
278.4098492311314 29.15947644226253 157.994
-6.183586970088072 -370.22945600934327 158.294
-96.26593635533936 108.08553235093132 157.994
-167.71280424133874 72.65820109471679 158.194
-288.6901472856989 277.0824752729386 157.894
124.51667544804513 221.33586096856743 158.094
-39.9917580174515 239.29769768333063 161.694
313.64520596631337 -16.26225304370746 158.094
319.4568190998398 -211.46976832207292 158.194
-285.08611435070634 -13.964349707588553 158.194
25.925744320033118 -94.002449630294 158.194
442.630556558026 -129.73464727774262 157.994
-188.57590009248815 324.8718538656831 158.294
80.36487763840705 -264.3242038125172 158.394
55.15939204685856 183.05010307347402 158.194
-83.31555359542836 -406.3978600613773 158.194
175.2478723837994 -284.27517547504976 158.294
-117.18344749812968 360.501409066841 157.994
55.1015241141431 -14.564052504952997 158.194
-103.07925541943405 -354.89498595846817 158.194
-37.80015885923058 70.960996969603 158.294
91.39643803378567 134.40391312818974 158.294
-183.4613075554371 -278.66746563557535 158.094
62.88603513990529 55.242639652919024 158.194
315.77639438724145 -81.90148858912289 158.094
-287.6334125448484 364.5558268451132 158.094
168.59829632018227 -286.1788505720906 158.294
-4.431984687806107 313.42487526964396 158.094
178.8804344725795 -18.230118387844414 158.094
-95.44269223720767 -154.4068072750233 158.094
-279.1641410153825 411.7654751483351 157.794
107.12954749085475 233.47686266712844 158.194
-187.081571636023 -263.4113116748631 157.894
-138.80371017742436 -307.26604219991714 158.094
-267.33747841988225 220.59925699792802 158.194
132.8291612501489 215.56033529294655 158.094
156.26169557566755 -293.50674616685137 158.194
304.85499984095804 -153.76297229900956 158.094
217.83879017923027 100.06289660185575 158.194
-89.37280799436849 -19.515911410562694 157.994
81.14112030155957 251.9418202615343 158.194
155.97555399127305 185.84135538013652 158.094
34.714476618450135 173.05150082614273 158.194
-41.14857151522301 266.66560610802844 158.094
107.83887402212713 -316.31297114957124 158.094
-82.5883254215587 -213.81902584899217 158.094
64.12433701346163 264.3719579204917 158.194
-91.66137537057512 -284.14827543264255 158.094
11.284403188736178 95.28632602700964 158.194
-47.92326389416121 197.28296451224014 158.194
-111.09550967230462 -293.79649338312447 158.094
144.2622832271736 -102.42472323728725 158.294
-296.0211634961888 140.98520866269246 158.094
85.61016006034333 198.2327558179386 158.194
-187.15157008450478 394.4802987622097 158.194
-134.94935788679868 384.4983966141008 158.294
357.03231805190444 -61.51534734014422 158.094
113.73449018539395 80.97790897917002 158.094
-16.52870342717506 -49.35854269936681 157.994
-218.91402180609293 309.6002222644165 158.194
13.755186348571442 -166.49325351696461 158.094
68.82756921765395 256.9073259867728 157.994
-292.2777456641197 177.23382049053907 158.194
205.62171249929816 116.91627012751997 157.994
458.09658216976095 -143.17711500497535 158.094
-199.49886508157942 -209.56652101734653 158.194
-132.6169448198052 -370.9901466402225 158.194
187.79068409884349 143.14653682801872 157.994
158.4361045716796 -28.380045105703175 158.194
-240.04099688795395 -93.18390761781484 157.994
10.023628863156773 -233.1669667600654 157.994
-67.62806710181758 -74.49750163592398 157.994
111.77019649662543 -182.83664215635508 157.994
-41.00680100545287 -258.6189148109406 158.094
-286.6809038684005 211.7519813273102 157.994
137.69051609793678 -301.2241521338001 158.194
-116.77561997680459 98.04882218129933 158.094
422.65604289912153 -160.4672776227817 158.194
-284.3940498288721 383.51152130262926 158.294
47.780203011468984 244.37280200235546 157.994
4.075347876641899 -39.37187193147838 158.094
127.85660649742931 -307.5789377489127 158.194
-236.66781351342797 235.67170428996906 158.094
60.68604554561898 -208.00370774650946 158.094
-279.2627571109915 412.8916757614352 157.894
-154.4258534843102 -184.0914955767803 158.094
-248.74161737016402 32.36589585337788 158.094
83.08607301022857 65.08460028469563 158.194
-206.5200869187247 -178.6422016080469 158.094
-68.88268645829521 -9.710845103953034 157.994
-27.867725654738024 206.95180241018534 158.194
-255.03505753993522 406.98347434960306 158.094
-206.9197950476082 397.74013225222006 158.294
163.14543135790154 38.54440380213782 158.194
248.06107951060403 -50.528693271800876 158.194
381.95596082136035 -115.96060983324423 158.094
202.37885598186404 -203.8872586544603 157.994
-260.3445373447612 -63.59933460596949 158.194
-112.31726319086738 -228.4510595682077 158.094
-92.29462005430833 241.45159250404686 158.094
-170.31982388184406 -312.7661918946542 158.394
264.6522873491049 -107.14164115302265 158.094
251.56585190724581 -246.55059474147856 158.194
-52.09254371887073 -329.9161808490753 158.294
267.2086496213451 -41.240765219554305 158.194
-43.03527997294441 332.489208472427 157.894
370.84802274079993 -186.24170565186068 158.194
-61.451687324326485 -268.88853497151285 158.094
200.8240785470698 124.32626141700894 158.094
391.2734944485128 -176.13798136031255 158.194
94.11302461952437 -127.0310327745974 158.194
-24.31436613400001 -119.3686236818321 158.294
112.79564030375332 14.065908098593354 158.394
-217.94524378399365 -17.811869379598647 158.094
151.85460182628594 -229.14376886654645 158.194
-142.11381297861226 -243.09686687821522 158.094
345.819016839494 -67.0819133548066 158.094
-220.9024842766812 -140.69622609205544 158.194
-293.18497915321495 333.5566335259937 158.094
-16.211915598483756 148.21209224127233 157.894
-33.47569956048392 -189.54584196256474 157.994
268.8764706692891 -236.57100623799488 158.094
260.3901971989544 21.52840319694951 158.094
-92.52731862897053 373.7502276012674 157.994
-160.40660045179538 -316.67703628120944 158.094
-162.12132833711803 -252.82901143748313 158.094
107.6316256383434 -53.4269667416811 157.994
-89.40916750207543 374.4999254322611 158.294
67.71313454711344 -139.88858157396317 158.094
-175.43475972441956 -304.87920365156606 158.294
-277.8495994430268 413.2754867868498 157.894
-286.49068826658186 342.82372560491785 157.794
-21.56249470275361 -314.70755834924057 158.294
142.40514377702493 -167.8531537540257 158.094
-269.61297670484055 -42.93797737406567 157.894
-190.63571792596485 -70.40640360675752 158.094
133.07849918142892 24.242865113075823 158.194
-140.3561968730064 -45.11119455099106 158.194
364.0986843779683 -124.76594487344846 158.094
-201.18396228237543 122.02845866978168 158.094
-44.613484357716516 -129.29581607645378 158.194
-216.3454708920326 245.6514508323744 158.094
293.93785742879845 -28.196201582439244 158.094
29.180066495900974 -289.5087693212554 158.094
192.6811132869916 119.96181190107018 157.994
